Source SGT:String(32):Required,Destination SGT:String(32):Required,SGACL Name:String(32):Required,Rule Status:String(enabled|disabled|monitor):Required
LAB2,TESTSGT5,EMPTY,Enabled
LAB2,TESTSGT6,EMPTY,Enabled
LAB2,TESTSGT7,EMPTY,Enabled
LAB2,TESTSGT8,EMPTY,Enabled
LAB2,THIN,EMPTY,Enabled
LAB2,TLF,EMPTY,Enabled
LAB2,TOIP,EMPTY,Enabled
LAB2,UPS,EMPTY,Enabled
LAB2,Unknown,EMPTY,Enabled
LAB2,VISIT,EMPTY,Enabled
LAB2,WCOR,EMPTY,Enabled
LAB2,WGUEST,EMPTY,Enabled
LAB2,WINT,EMPTY,Enabled
LAB2,WMIR,EMPTY,Enabled
LAB2,WPDA,EMPTY,Enabled
LAB2,WVOIP,EMPTY,Enabled
LAB2,asier,EMPTY,Enabled
LAB2,dddd,EMPTY,Enabled
LAB2,istvan,EMPTY,Enabled
LAB2,istvan3,EMPTY,Enabled
Lorenzo,AP,EMPTY,Enabled
Lorenzo,AUT,EMPTY,Enabled
Lorenzo,Abelardo,EMPTY,Enabled
Lorenzo,COR,EMPTY,Enabled
Lorenzo,EKO,EMPTY,Enabled
Lorenzo,EXT,EMPTY,Enabled
Lorenzo,FMC,EMPTY,Enabled
Lorenzo,GuestMobile,EMPTY,Enabled
Lorenzo,GuestWS,EMPTY,Enabled
Lorenzo,Guests,EMPTY,Enabled
Lorenzo,JuanP,EMPTY,Enabled
Lorenzo,LAB1,EMPTY,Enabled
Lorenzo,LAB2,EMPTY,Enabled
Lorenzo,Lorenzo,EMPTY,Enabled
Lorenzo,Luis,EMPTY,Enabled
Lorenzo,MM,EMPTY,Enabled
Lorenzo,MariLuz,EMPTY,Enabled
Lorenzo,PACO,EMPTY,Enabled
Lorenzo,PRINT,EMPTY,Enabled
Lorenzo,Quarantined_Systems,EMPTY,Enabled
Lorenzo,REPSOL,EMPTY,Enabled
Lorenzo,TESTSGT21,EMPTY,Enabled
Lorenzo,TESTSGT22,EMPTY,Enabled
Lorenzo,TESTSGT23,EMPTY,Enabled
Lorenzo,TESTSGT3,EMPTY,Enabled
Lorenzo,TESTSGT4,EMPTY,Enabled
Lorenzo,TESTSGT5,EMPTY,Enabled
Lorenzo,TESTSGT6,EMPTY,Enabled
Lorenzo,TESTSGT7,EMPTY,Enabled
Lorenzo,TESTSGT8,EMPTY,Enabled
Lorenzo,THIN,EMPTY,Enabled
Lorenzo,TLF,EMPTY,Enabled
Lorenzo,TOIP,EMPTY,Enabled
Lorenzo,UPS,EMPTY,Enabled
Lorenzo,Unknown,EMPTY,Enabled
Lorenzo,VISIT,EMPTY,Enabled
Lorenzo,WCOR,EMPTY,Enabled
Lorenzo,WGUEST,EMPTY,Enabled
Lorenzo,WINT,EMPTY,Enabled
Lorenzo,WMIR,EMPTY,Enabled
Lorenzo,WPDA,EMPTY,Enabled
Lorenzo,WVOIP,EMPTY,Enabled
